pristine,,,,,,,,,,,,blackMass,,,,,,,,,,,
chargeCycle1,,,dischargeCycle1,,,chargeCycle30,,,dischargeCycle30,,,chargeCycle1,,,dischargeCycle1,,,chargeCycle30,,,dischargeCycle30,,
390,0.048653219,240.5418201,390,0.233199656,240.5396046,390,0.059778061,240.5443153,390,0.194782957,240.5382709,390,0.005048218,241.7758502,390,0.873725295,242.1360869,390,0.058774091,242.1379251,390,0.175478891,242.1339805
400,0.046014402,246.7095436,400,0.237094119,246.7072851,400,0.057824533,246.7120388,400,0.208698034,246.7059514,400,0.005039324,246.8014131,400,1.1634835,248.3446691,400,0.057014287,248.3465648,400,0.179736137,248.342582
410,0.042337272,252.8772887,410,0.249818131,252.8749871,410,0.055388939,252.8797839,410,0.227043837,252.873632,410,0.005056373,251.1906978,410,1.762993693,254.5532705,410,0.055209257,254.5552045,410,0.184980169,254.5511834
420,0.037021086,259.0449907,420,0.323707253,259.0426891,420,0.052259151,259.0475289,420,0.234310672,259.0413125,420,0.00504896,255.0027574,420,2.423866749,258.8992992,420,0.053395338,260.7638442,420,0.191419929,260.7597848
430,0.028874742,265.2127358,430,0.474032223,265.2104127,430,0.048122194,265.215274,430,0.237502053,265.2090145,430,0.005049701,258.2825712,,,,430,0.051509514,266.9724648,430,0.199580088,266.9684053
440,0.01558576,271.3804593,440,1.304349542,271.3781362,440,0.042377323,271.383019,440,0.243437603,271.3767165,440,0.005039324,261.1025965,,,,440,0.049580693,273.1811045,440,0.209669992,273.1770067
450,0.005046839,277.3100005,450,2.434375763,273.8452256,450,0.033805266,277.550721,450,0.266265303,277.544397,450,0.00504377,263.5688572,,,,450,0.047590345,279.3897633,450,0.222264141,279.3856081
460,0.005020881,281.0391787,,,,460,0.018852754,283.718423,460,0.354034007,283.7120775,460,0.005045994,265.7913794,,,,460,0.045462124,285.598403,460,0.232729137,285.5942287
470,0.005035715,283.659141,,,,470,0.005074281,289.657945,470,0.534757316,289.8798011,470,0.005057114,267.8418352,,,,470,0.043140426,291.8070044,470,0.238817453,291.8028493
480,0.005044615,285.6323565,,,,480,0.005034974,293.617949,480,1.911671758,296.0475031,480,0.00505489,269.7622358,,,,480,0.040445864,298.015625,480,0.24602966,298.0114507
490,0.005045356,287.2190124,,,,490,0.005034231,296.4158005,490,2.495166302,297.8978309,490,0.005048218,271.574123,,,,490,0.037189417,304.2242647,490,0.255557716,304.2200712
500,0.005034231,288.5661094,,,,500,0.005057223,298.3977707,,,,500,0.005059338,273.2961857,,,,500,0.03264758,310.4328661,500,0.284185678,310.4286535
510,0.005045356,289.7589784,,,,510,0.005047582,299.8336402,,,,510,0.005045994,274.9408509,,,,510,0.025387472,316.6414867,510,0.364602715,316.6372549
520,0.005037198,290.1771149,,,,520,0.005045356,300.2995078,,,,520,0.005051925,276.520795,,,,520,0.012694518,322.8501072,520,0.471314609,322.8458563
,,,,,,,,,,,,530,0.00504377,278.0449219,,,,530,0.005049701,328.428462,530,0.657499969,329.054496
,,,,,,,,,,,,540,0.005043029,279.5197802,,,,540,0.005060821,332.2431066,540,1.451340318,335.2630974
,,,,,,,,,,,,550,0.005031169,280.9472273,,,,550,0.005057114,335.0985371,550,2.445988178,339.6091069
,,,,,,,,,,,,560,0.00505489,282.3388289,,,,560,0.005045253,337.3125383,,,
,,,,,,,,,,,,570,0.005057114,283.6921913,,,,570,0.005048218,339.0483303,,,
,,,,,,,,,,,,580,0.00504377,285.0062423,,,,580,0.005062304,340.3511795,,,
,,,,,,,,,,,,590,0.005047477,286.2865158,,,,590,0.005050442,340.7699525,,,
,,,,,,,,,,,,600,0.00506008,287.5331074,,,,,,,,,
,,,,,,,,,,,,610,0.005033393,288.7522021,,,,,,,,,
,,,,,,,,,,,,620,0.005050442,289.9474188,,,,,,,,,
,,,,,,,,,,,,630,0.005051184,291.1196576,,,,,,,,,
,,,,,,,,,,,,640,0.005042288,292.2689377,,,,,,,,,
,,,,,,,,,,,,650,0.005040805,293.3972312,,,,,,,,,
,,,,,,,,,,,,660,0.005044512,294.5034084,,,,,,,,,
,,,,,,,,,,,,670,0.005050442,295.587546,,,,,,,,,
,,,,,,,,,,,,680,0.005041546,296.6552926,,,,,,,,,
,,,,,,,,,,,,690,0.00505489,297.7075674,,,,,,,,,
,,,,,,,,,,,,700,0.00505489,298.744581,,,,,,,,,
,,,,,,,,,,,,710,0.005050442,299.7671952,,,,,,,,,
,,,,,,,,,,,,720,0.005054149,300.7760034,,,,,,,,,
,,,,,,,,,,,,730,0.005040064,301.7685355,,,,,,,,,
,,,,,,,,,,,,740,0.005044512,301.9652842,,,,,,,,,
